human, 1.000000, 0.000000
coach, 1.000000, 0.000000
queue, 1.000000, 0.000000
empti, 1.000000, 0.000000
america, 0.000000, 1.000000
made, 0.616505, 0.383495
mine, 0.600000, 0.400000
app, 0.678571, 0.321429
photo, 0.000000, 1.000000
merger, 1.000000, 0.000000
nothappi, 1.000000, 0.000000
state, 1.000000, 0.000000
cc, 1.000000, 0.000000
claim, 0.830357, 0.169643
rt, 0.282609, 0.717391
due, 0.879167, 0.120833
much, 0.407080, 0.592920
understaf, 1.000000, 0.000000
care, 0.739130, 0.260870
understand, 0.803419, 0.196581
a, 0.701137, 0.298863
thing, 0.656250, 0.343750
same, 0.740506, 0.259494
live, 0.642857, 0.357143
so, 0.610670, 0.389330
song, 0.000000, 1.000000
fan, 0.000000, 1.000000
saw, 0.357143, 0.642857
leg, 0.716981, 0.283019
almost, 0.884211, 0.115789
trueblu, 0.000000, 1.000000
incompet, 1.000000, 0.000000
e, 1.000000, 0.000000
own, 0.807018, 0.192982
intl, 1.000000, 0.000000
hold, 0.947917, 0.052083
travel, 0.588076, 0.411924
baggag, 0.825893, 0.174107
couldnt, 0.883495, 0.116505
finger, 0.000000, 1.000000
drunk, 1.000000, 0.000000
phoenix, 0.576923, 0.423077
funer, 1.000000, 0.000000
favorit, 0.000000, 1.000000
told, 0.912548, 0.087452
dfwairport, 0.000000, 1.000000
last, 0.746711, 0.253289
ticket, 0.620513, 0.379487
flightlat, 0.716216, 0.283784
includ, 0.448276, 0.551724
ani, 0.542923, 0.457077
c, 0.477273, 0.522727
middl, 0.685714, 0.314286
remov, 1.000000, 0.000000
unfortun, 1.000000, 0.000000
non, 1.000000, 0.000000
cut, 1.000000, 0.000000
respond, 0.764706, 0.235294
big, 0.535211, 0.464789
number, 0.656126, 0.343874
luck, 0.611111, 0.388889
folk, 0.612903, 0.387097
rdu, 0.566667, 0.433333
gt, 0.714286, 0.285714
when, 0.728549, 0.271451
buffalo, 1.000000, 0.000000
ahead, 1.000000, 0.000000
alon, 1.000000, 0.000000
extrem, 1.000000, 0.000000
diff, 1.000000, 0.000000
futur, 0.575000, 0.425000
myself, 1.000000, 0.000000
least, 0.837209, 0.162791
